dish_id,restaurant_id,name,description,category,subcategory,price_pen,delivery_price_pen,portion,protein,ingredients,includes_drink,includes_side,includes_dessert,vegetarian,vegan,gluten_free,calories,protein_g,carbs_g,fat_g,availability,price_confidence,data_confidence,verified_at,source_url,notes
DISH-000001,REST-0002,Hamburguesa Clásica,"Hamburguesa a la parrilla con lechuga, tomate y mayonesa.",hamburguesa,hamburguesa_res,16.9,,regular,carne de res,"carne a la parrilla, lechuga, tomate, mayonesa",False,False,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000002,REST-0002,Hamburguesa Cheese,"Hamburguesa a la parrilla con lechuga, tomate, mayonesa y queso.",hamburguesa,hamburguesa_res,18.9,,regular,carne de res,"carne a la parrilla, queso, lechuga, tomate, mayonesa",False,False,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000003,REST-0002,Hamburguesa Royal,"Hamburguesa a la parrilla con huevo, queso Edam, tomate, lechuga y mayonesa.",hamburguesa,hamburguesa_res,18.9,,regular,carne de res,"carne, huevo, queso Edam, tomate, lechuga, mayonesa",False,False,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000004,REST-0002,Hamburguesa Queso Tocino,Hamburguesa con doble tocino y queso Edam.,hamburguesa,hamburguesa_res,18.9,,regular,carne de res,"carne, tocino, queso Edam, tomate, lechuga, mayonesa",False,False,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000005,REST-0002,Hamburguesa La Tumbay,"Hamburguesa con huevo frito, tocino, papas tumbay, chimichurri y lechuga.",hamburguesa,hamburguesa_res,20.9,,regular,carne de res,"carne, huevo, tocino, papas tumbay, chimichurri, lechuga",False,False,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000006,REST-0002,Hamburguesa Mexicana,"Hamburguesa con queso, guacamole, Doritos, tomate y mayonesa.",hamburguesa,hamburguesa_res,20.9,,regular,carne de res,"carne, queso, guacamole, Doritos, tomate, mayonesa",False,False,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000007,REST-0002,Hamburguesa A lo Pobre,"Hamburguesa con huevo frito, plátano frito, cebolla, tomate y mayonesa.",hamburguesa,hamburguesa_res,22.9,,regular,carne de res,"carne, huevo, plátano frito, cebolla, tomate, mayonesa",False,False,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000008,REST-0002,Hamburguesa Chicharronera,"Carne de res, chicharrón, camotes al hilo, cebolla morada y salsa de rocoto.",hamburguesa,hamburguesa_res,24.9,,regular,carne de res y cerdo,"carne, chicharrón, camote, cebolla morada, salsa de rocoto",False,False,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000009,REST-0002,Hamburguesa Huachana,"Hamburguesa con huevo, huachana, papas al hilo y mayonesa.",hamburguesa,hamburguesa_res,25.9,,regular,carne de res y embutido,"carne, huevo, huachana, papas al hilo, mayonesa",False,False,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000010,REST-0002,Bembroster Clásica,"Sándwich de pollo crocante con mayonesa, lechuga y tomate.",pollo,sandwich_pollo,15.9,,regular,pollo,"pollo crocante, mayonesa, lechuga, tomate",False,False,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000011,REST-0002,Pollo Parrillero,"Filete de pollo a la parrilla con papas al hilo, mayonesa, lechuga y tomate.",pollo,sandwich_pollo,16.9,,regular,pollo,"pollo a la parrilla, papas al hilo, mayonesa, lechuga, tomate",False,False,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000012,REST-0002,Burger Menú,"Hamburguesa a la parrilla con papas, huevo frito, arroz y ensalada.",menu_economico,menu_completo,15.9,,,carne de res,"hamburguesa, papas fritas, huevo, arroz, ensalada",False,True,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000013,REST-0002,Menú Pechugón,"Pollo a la parrilla con papas, arroz y ensalada.",menu_economico,menu_completo,17.9,,,pollo,"pollo a la parrilla, papas fritas, arroz, ensalada",False,True,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000014,REST-0002,Papas Fritas,Papas fritas con opción de agrandar porción.,snack,acompanamiento,6.9,,,,papas,False,False,False,True,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000015,REST-0002,Salchipapa,Porción familiar de papas fritas con hot dog.,snack,salchipapa,10.9,,familiar,salchicha,"papas fritas, hot dog",False,False,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000016,REST-0002,Nuggets,Nuggets de pollo empanizados.,snack,pollo,12.9,,,pollo,pollo empanizado,False,False,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000017,REST-0002,Sundae Chocoteja,"Helado con manjar blanco, pecanas y chocolate crocante.",postre,helado,7.9,,,,"helado, manjar blanco, pecanas, chocolate",False,False,True,True,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000018,REST-0002,Combo Bembroster Clásica,"Sándwich de pollo crocante, papas y gaseosa personal.",fast_food,combo,20.9,,,pollo,"pollo crocante, papas, gaseosa",True,True,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000019,REST-0002,Combo Clásica,Hamburguesa clásica con papa mediana y gaseosa 500 ml.,hamburguesa,combo,22.9,,,carne de res,"hamburguesa, papas, gaseosa",True,True,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
DISH-000020,REST-0002,Personal Clásica,Hamburguesa Clásica regular con papa mediana.,hamburguesa,promocion,12.9,,,carne de res,"hamburguesa clásica, papa mediana",False,True,False,False,,,,,,,available,high,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,Precio orientativo; puede variar según local.
