restaurant_id,name,legal_name,category,subcategory,on_campus,location_reference,address,district,latitude,longitude,phone,website,google_maps_url,instagram_url,opening_hours,current_status,distance_m_walk,walking_time_min,distance_bucket,walking_distance_source,walking_route_url,distance_confidence,data_confidence,verified_at,source_1_url,source_1_type,source_2_url,source_2_type,notes
REST-0001,Starbucks Universidad de Lima,Starbucks Coffee Perú S.R.L.,cafeteria,coffee_shop,True,Dentro del campus ULima - Edificio A1,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.0775,-76.9886,+51 1 702 6000,https://www.starbucks.pe/,https://maps.google.com/?q=Starbucks+Universidad+de+Lima,@starbuckspe,Lun-Dom: 07:00-22:00,open,150,2,on_campus,estimated,,medium,high,2026-09-05,https://exynia.com/precios-menu-starbucks-peru/,official_menu,https://www.ulima.edu.pe/,official_website,Dentro del campus - Edificio A1. Dos ubicaciones en campus.
REST-0002,Bembos,Bembos S.A.C.,fast_food,hamburguesas,True,Dentro del campus ULima - Food Court,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.0775,-76.9886,+51 1 702 6000,https://www.bembos.com/,https://maps.google.com/?q=Bembos+Universidad+de+Lima,@bembosperu,Lun-Dom: 10:00-23:00,open,200,3,on_campus,estimated,,medium,high,2026-09-05,https://exynia.com/precios-menu-bembos-peru/,official_menu,https://www.ulima.edu.pe/,official_website,Food court principal del campus.
REST-0003,Chinawok,Chinawok Perú S.A.C.,fast_food,chifa,True,Dentro del campus ULima - Food Court,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.0775,-76.9886,+51 1 702 6000,https://www.chinawok.com.pe/,https://maps.google.com/?q=Chinawok+Universidad+de+Lima,@chinawokperu,Lun-Dom: 10:00-23:00,open,200,3,on_campus,estimated,,medium,high,2026-09-05,https://www.chinawok.com.pe/menu,official_menu,https://www.ulima.edu.pe/,official_website,Food court principal del campus.
REST-0004,Mr. Sushi,Mr. Sushi Perú S.A.C.,sushi,sushi_bar,True,Dentro del campus ULima - Food Court,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.0775,-76.9886,+51 1 702 6000,,https://maps.google.com/?q=Mr.+Sushi+Universidad+de+Lima,,Lun-Dom: 12:00-22:30,open,200,3,on_campus,estimated,,medium,medium,2026-09-05,https://exynia.com/precios-menu-sushi-pop-peru/,official_menu,https://www.ulima.edu.pe/,official_website,Food court principal del campus.
REST-0005,Sushi Pop,Sushi Pop S.A.C.,sushi,sushi_bar,False,Ó¡Ó¡Ó¡val Monitor - Frente a ULima,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.078,-76.989,,https://sushipop.com/,https://maps.google.com/?q=Sushi+Pop+Miraflores,@sushipop,Lun-Dom: 12:00-22:30,open,350,5,0_5_min,google_maps,https://maps.google.com/?q=walking+route,high,high,2026-09-05,https://exynia.com/precios-menu-sushi-pop-peru/,official_menu,https://www.rappi.com.pe/,delivery_platform,Ó¡Ó¡Ó¡val Monitor - Frente a ULima. Verificado en Rappi.
REST-0006,TGI Fridays,Peruana de Restaurantes S.A.C.,casual_dining,american,False,Javier Prado Este - Cerca Óval Monitor,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.078,-76.989,+51 1 702 6000,https://www.tgifridays.pe/,https://maps.google.com/?q=TGI+Fridays+Santiago+de+Surco,@tgifridaysperu,Lun-Dom: 12:00-23:00,open,400,6,5_10_min,google_maps,https://maps.google.com/?q=walking+route,medium,high,2026-09-05,https://exynia.com/menus/peru/,official_menu,https://www.rappi.com.pe/,delivery_platform,Javier Prado Este - Cerca Óval Monitor.
REST-0007,Tanta,Tanta Perú S.A.C.,peruvian,criolla,False,Javier Prado Este - Santiago de Surco,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.078,-76.989,+51 1 702 6000,https://www.tanta.pe/,https://maps.google.com/?q=Tanta+Santiago+de+Surco,@tantaperu,Lun-Dom: 12:00-23:00,open,450,7,5_10_min,google_maps,https://maps.google.com/?q=walking+route,medium,high,2026-09-05,https://exynia.com/menus/peru/,official_menu,https://www.rappi.com.pe/,delivery_platform,Javier Prado Este - Santiago de Surco.
REST-0008,Papachos,Papachos S.A.C.,fast_food,hamburguesas,False,Javier Prado Este - Santiago de Surco,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.078,-76.989,+51 1 702 6000,https://www.papachos.com/,https://maps.google.com/?q=Papachos+Santiago+de+Surco,@papachosperu,Lun-Dom: 12:00-23:00,open,500,8,5_10_min,google_maps,https://maps.google.com/?q=walking+route,medium,high,2026-09-05,https://exynia.com/menus/peru/,official_menu,https://www.rappi.com.pe/,delivery_platform,Javier Prado Este - Santiago de Surco.
REST-0009,Rustica,Rustica Ristorante S.A.C.,italian,pasta,False,Javier Prado Este - Santiago de Surco,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.078,-76.989,+51 1 702 6000,https://rustica.pe/,https://maps.google.com/?q=Rustica+Santiago+de+Surco,@rusticaperu,Lun-Dom: 12:00-23:00,open,550,9,5_10_min,google_maps,https://maps.google.com/?q=walking+route,medium,high,2026-09-05,https://exynia.com/menus/peru/,official_menu,https://www.rappi.com.pe/,delivery_platform,Javier Prado Este - Santiago de Surco.
REST-0010,KFC,KFC Perú S.A.C.,fast_food,pollo_frito,False,Javier Prado Este - Santiago de Surco,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.078,-76.989,+51 1 702 6000,https://www.kfc.com.pe/,https://maps.google.com/?q=KFC+Santiago+de+Surco,@kfcperu,Lun-Dom: 10:00-23:00,open,600,10,5_10_min,google_maps,https://maps.google.com/?q=walking+route,medium,high,2026-09-05,https://exynia.com/menus/peru/,official_menu,https://www.rappi.com.pe/,delivery_platform,Javier Prado Este - Santiago de Surco.
REST-0011,La Bendita Burger,,fast_food,hamburguesas,True,Dentro del campus ULima,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.0775,-76.9886,+51 1 702 6000,,https://maps.google.com/?q=La+Bendita+Burger+ULima,,Lun-Dom: 08:00-22:00,open,180,3,on_campus,estimated,,medium,medium,2026-09-05,https://www.ulima.edu.pe/,official_website,https://www.ulima.edu.pe/,official_website,OpciÓ¡Ó¡Ó¡n saludable dentro del campus.
REST-0012,Lifegreen,Lifegreen S.A.C.,healthy,ensaladas,True,Dentro del campus ULima,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.0775,-76.9886,+51 1 702 6000,,https://maps.google.com/?q=Lifegreen+ULima,@lifegreenperu,Lun-Dom: 08:00-22:00,open,190,3,on_campus,estimated,,medium,medium,2026-09-05,https://www.ulima.edu.pe/,official_website,https://www.ulima.edu.pe/,official_website,OpciÓ¡Ó¡Ó¡n saludable dentro del campus.
REST-0013,Picadeli,Picadeli S.A.C.,healthy,ensaladas,True,Dentro del campus ULima,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.0775,-76.9886,+51 1 702 6000,,https://maps.google.com/?q=Picadeli+ULima,@picadeliperu,Lun-Dom: 08:00-22:00,open,195,3,on_campus,estimated,,medium,medium,2026-09-05,https://www.ulima.edu.pe/,official_website,https://www.ulima.edu.pe/,official_website,OpciÓ¡Ó¡Ó¡n saludable dentro del campus.
REST-0014,Freshit,Freshit S.A.C.,healthy,ensaladas,True,Dentro del campus ULima,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.0775,-76.9886,+51 1 702 6000,,https://maps.google.com/?q=Freshit+ULima,,Lun-Dom: 08:00-22:00,open,200,3,on_campus,estimated,,medium,medium,2026-09-05,https://www.ulima.edu.pe/,official_website,https://www.ulima.edu.pe/,official_website,OpciÓ¡Ó¡Ó¡n saludable dentro del campus.
REST-0015,Alessar F2,Alessar F2 S.A.C.,peruvian,criolla,True,Dentro del campus ULima,"Av. Javier Prado Este 4600, Santiago de Surco",Santiago de Surco,-12.0775,-76.9886,+51 1 702 6000,,https://maps.google.com/?q=Alessar+F2+ULima,,Lun-Dom: 08:00-22:00,open,210,4,on_campus,estimated,,medium,medium,2026-09-05,https://www.ulima.edu.pe/,official_website,https://www.ulima.edu.pe/,official_website,Comida peruana dentro del campus.
